distancia_atual;distancia_anterior;temperatura;umidade;vento;insolacao;evaporacao;chuva;datahora
60.00;1.99;19.10;59.30;3.10;5.80;2.60;5.50;23/08/2022 16:58
189.00;60.00;21.70;80.80;3.00;4.10;2.80;7.80;21/07/2022 06:06
241.00;189.00;25.20;34.40;7.70;2.60;0.20;44.30;20/04/2020 05:10
237.00;241.00;24.70;79.80;2.20;3.90;2.10;8.00;20/01/2024 15:49
123.00;237.00;18.40;36.60;1.90;9.00;5.20;0.00;25/08/2020 11:50
117.00;123.00;20.30;68.20;4.30;1.40;1.20;12.80;01/06/2024 13:51
231.00;117.00;15.40;79.70;3.50;5.90;1.70;7.10;27/11/2021 06:04
61.00;231.00;25.40;44.00;15.60;0.10;0.30;80.30;17/01/2023 21:36
123.00;61.00;29.70;85.00;2.10;8.10;2.20;0.80;02/12/2021 13:45
165.00;123.00;32.00;38.20;7.30;0.70;0.20;27.80;24/01/2023 15:11
141.00;165.00;29.30;77.30;0.50;11.10;6.20;0.00;06/04/2023 01:05
185.00;141.00;28.80;32.10;1.20;7.50;3.40;1.10;02/01/2024 23:35
107.00;185.00;24.00;91.00;13.90;0.50;0.40;117.90;15/06/2021 09:55
187.00;107.00;17.10;49.30;1.60;7.90;4.50;1.20;15/10/2023 16:09
118.00;187.00;29.70;76.10;2.60;2.40;1.80;6.60;01/04/2021 00:51
190.00;118.00;28.60;84.10;12.60;0.20;0.00;88.40;21/03/2022 20:25
245.00;190.00;24.60;81.40;9.50;0.00;0.10;134.50;31/07/2024 06:07
78.00;245.00;30.30;47.50;0.90;9.50;6.30;0.00;01/12/2020 22:09
103.00;78.00;19.60;42.40;12.10;0.60;0.50;102.10;03/05/2021 18:30
91.00;103.00;25.20;69.20;0.90;9.70;6.20;0.00;03/12/2020 07:19
265.00;91.00;26.00;31.10;2.90;9.90;4.20;1.80;04/02/2023 19:52
145.00;265.00;24.80;66.40;2.00;2.50;2.40;5.90;16/11/2021 11:54
199.00;145.00;22.00;73.30;19.50;0.50;0.90;63.90;01/03/2020 12:37
79.00;199.00;15.80;42.00;0.50;10.30;6.80;0.00;07/01/2024 18:14
134.00;79.00;29.90;48.00;1.90;6.30;4.70;1.60;18/05/2021 06:26
282.00;134.00;22.70;74.30;3.70;3.00;2.70;7.30;15/03/2025 07:53
297.00;282.00;28.20;45.80;2.40;8.50;3.30;0.80;30/03/2022 05:53
159.00;297.00;29.90;33.30;2.80;8.60;4.20;0.80;06/05/2022 08:51
163.00;159.00;15.70;59.40;5.40;0.30;1.20;19.60;20/10/2021 05:38
185.00;163.00;32.90;88.60;1.30;8.30;6.30;0.00;19/10/2023 08:33
177.00;185.00;17.30;63.60;1.50;9.80;3.50;0.30;07/11/2020 13:32
206.00;177.00;17.00;65.80;1.00;9.70;2.90;1.70;27/08/2021 17:41
247.00;206.00;16.90;57.60;2.90;8.50;3.00;1.20;28/12/2021 14:42
127.00;247.00;26.80;64.00;2.10;6.60;3.80;0.60;29/11/2022 07:45
126.00;127.00;25.70;79.20;2.60;4.00;1.00;6.90;13/08/2023 21:33
167.00;126.00;29.30;58.60;1.90;7.40;4.40;1.10;06/10/2024 04:42
184.00;167.00;15.20;87.00;2.40;7.20;4.10;0.60;11/07/2023 19:38
287.00;184.00;20.20;84.90;15.80;0.00;0.90;58.80;06/05/2020 16:14
147.00;287.00;17.00;49.60;2.40;4.20;2.10;4.70;17/12/2022 14:57
145.00;147.00;26.80;43.30;4.90;1.30;1.00;40.70;08/07/2020 05:48
195.00;145.00;23.10;55.10;7.00;1.40;0.80;49.70;05/09/2020 17:04
251.00;195.00;22.40;46.80;1.00;10.00;6.60;0.00;06/05/2024 16:41
278.00;251.00;27.10;51.10;0.60;9.50;4.00;0.00;06/12/2023 11:11
133.00;278.00;15.80;75.10;2.50;5.30;2.40;3.90;05/09/2020 15:09
52.00;133.00;28.60;65.50;3.10;3.80;2.30;6.70;25/06/2020 15:34
56.00;52.00;32.80;81.50;2.10;9.30;4.40;0.10;01/06/2023 02:37
206.00;56.00;24.90;68.90;7.40;0.00;0.70;18.40;09/01/2024 07:45
219.00;206.00;31.50;47.90;1.20;8.10;6.10;0.00;01/11/2020 19:15
292.00;219.00;33.40;87.90;7.50;0.70;1.60;21.80;10/12/2021 22:13
126.00;292.00;25.60;71.60;7.40;0.30;0.00;13.40;15/11/2022 23:32
194.00;126.00;26.00;34.10;9.00;0.20;0.20;112.00;15/10/2021 15:59
65.00;194.00;31.90;59.20;5.80;1.40;0.40;13.50;03/11/2021 02:40
