Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(Â°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(Â°C);TEMPERATURA MINIMA, DIARIA(Â°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);UMIDADE DO SOLO ESTIMADA;MEDIA DIARIA DE VAZ�O
01/01/1961;2,4;11,7;0.4;33,8;27.1;22,2;67.0;48.0;2,3;0.9537366548042704;76.24
02/01/1961;4;9,5;0.0;34,7;28.1;22,5;62.5;47.0;1,3;0.0;76.1
03/01/1961;3,1;2,3;0.2;27,7;24.3;23,1;74.3;63.0;2;0.5873517786561264;76.17
04/01/1961;3,5;8,7;2.4;29,4;23.6;20,6;57.5;41.0;2,3;5.609.756.097.560.970;76.91
05/01/1961;4,7;10,1;0.0;32,5;25.2;18,8;63.5;44.0;3,7;0.0;76.1
06/01/1961;4,1;0,4;3.8;26,2;23.1;21,9;80.8;75.0;2,7;12.740.248.962.655.500;77.38
07/01/1961;1,9;11,7;1.6;27,8;21.3;15,2;57.3;45.0;1,7;4.111.210.762.331.830;76.64
08/01/1961;3,4;12;0.0;33,1;23.9;16,4;62.0;42.0;1,3;0.0;76.1
09/01/1961;4,1;12,2;0.0;35,7;27.2;20,6;61.3;44.0;1,7;0.0;76.1
10/01/1961;4,5;2,7;26.9;26,7;22.8;20,7;88.3;70.0;2,7;9.980.126.050.420.160;85.13
11/01/1961;1,5;12,1;9.7;28;23.1;19,9;64.3;44.0;2;25.880.082.987.551.800;79.36
12/01/1961;3,9;12,2;0.0;32,6;25.4;19,6;70.8;54.0;2;0.0;76.1
13/01/1961;3,2;11,9;0.0;36,4;28.4;21,4;63.0;42.0;1,3;0.0;76.1
14/01/1961;4,6;8;0.0;36,5;30.3;25,4;58.5;47.0;1,7;0.0;76.1
15/01/1961;4,7;10,3;0.0;37,5;30.8;25,3;60.0;46.0;1,7;0.0;76.1
16/01/1961;4,5;8,1;0.0;37,4;30.1;24,8;66.5;45.0;0,3;0.0;76.1
17/01/1961;3,8;0,2;0.0;31,4;26.4;23,4;81.3;65.0;2,3;0.0;76.1
18/01/1961;1,9;5,6;14.3;27,4;24.4;22,6;73.5;68.0;3;4.137.992.125.984.250;80.9
19/01/1961;2,5;11,8;0.0;32,4;26.5;22;76.8;60.0;2,3;0.0;76.1
20/01/1961;2,9;11,2;0.0;37,4;29.6;21,8;64.0;55.0;1;0.0;76.1
21/01/1961;3,9;5,4;13.9;31,1;26.1;24,2;77.5;65.0;3;3.975.092.250.922.500;80.77
22/01/1961;1,7;4,8;0.0;26,8;23.5;22,1;66.3;59.0;2,7;0.0;76.1
23/01/1961;3,5;11,5;0.0;30,5;23.9;19,4;61.8;48.0;2,7;0.0;76.1
24/01/1961;3,5;10,6;0.0;32;24.1;18,2;72.0;45.0;2,7;0.0;76.1
25/01/1961;3,9;0,2;0.1;24,6;22.2;21,2;64.8;62.0;3,3;0.2793103448275862;76.14
26/01/1961;3,1;7,8;0.0;26,2;21.2;18;67.5;44.0;3;0.0;76.1
27/01/1961;3,7;11;0.0;27,6;22.6;18,4;59.3;47.0;3;0.0;76.1
28/01/1961;4,5;10,5;0.0;28,9;23.2;18;63.5;48.0;2,7;0.0;76.1
29/01/1961;4;5,9;0.0;31,8;24.8;20,6;64.0;45.0;1,3;0.0;76.1
30/01/1961;3,3;11;0.0;33,6;25.9;20,5;59.3;37.0;1,7;0.0;76.1
31/01/1961;3;9,9;0.0;36,4;27.7;20,5;58.0;39.0;1,3;0.0;76.1
01/02/1961;4,9;9,5;0.0;35,8;26.8;22;69.8;52.0;1,3;0.0;76.1
02/02/1961;3,6;9,5;27.6;32,6;25.7;21,5;73.0;56.0;3;7.546.067.415.730.330;85.36
03/02/1961;2,9;9,3;0.0;29,5;25.2;22,4;71.8;56.0;2,3;0.0;76.1
04/02/1961;3,1;9,4;0.0;29,9;24.3;19,8;68.3;50.0;3;0.0;76.1
05/02/1961;3,9;7,4;0.0;31,6;25.4;21,4;70.0;56.0;2;0.0;76.1
06/02/1961;3,4;6,3;0.0;33,6;26.3;22,8;76.0;63.0;1,7;0.0;76.1
07/02/1961;2,8;2;1.3;28,4;25.6;22,6;77.0;71.0;2;3.763.157.894.736.840;76.54
08/02/1961;1,8;7,8;1.2;28,4;24.6;23;74.5;67.0;2,7;34.921.874.999.999.900;76.51
09/02/1961;2,7;10;0.0;30,6;24.0;18,9;66.0;44.0;2,3;0.0;76.1
10/02/1961;3,8;9,5;0.0;34,9;27.1;20,1;65.8;47.0;2;0.0;76.1
11/02/1961;3,5;7,1;34.1;29,7;25.0;22,1;78.0;66.0;1,7;10.230.000.000.000.000;87.55
12/02/1961;2,1;10,7;0.0;32,3;25.4;18,4;59.0;43.0;1;0.0;76.1
13/02/1961;4;6,6;0.0;26,9;23.4;21,8;65.3;55.0;2,7;0.0;76.1
14/02/1961;3,9;11,2;0.0;27,7;22.7;18,2;60.5;51.0;4,7;0.0;76.1
15/02/1961;4,5;11,5;0.0;30,9;24.4;20,2;59.3;41.0;4;0.0;76.1
16/02/1961;4,6;10,5;0.0;31;24.9;20,7;62.8;46.0;3,3;0.0;76.1
17/02/1961;4;9,3;0.0;32,6;25.6;20,1;67.0;50.0;1,7;0.0;76.1
18/02/1961;3,3;8,7;0.0;32,6;26.3;22,2;77.8;67.0;2;0.0;76.1
19/02/1961;2,8;11,2;3.6;32,9;26.2;21,7;73.5;56.0;1,7;9.727.941.176.470.580;77.31
20/02/1961;3,2;10,9;0.0;35;28.1;22,4;66.3;48.0;0;0.0;76.1
21/02/1961;3,9;9,1;0.0;35,9;27.1;22;72.5;52.0;3;0.0;76.1
22/02/1961;3;9,7;29.1;34,8;26.2;22,6;77.8;53.0;1,7;8.323.455.882.352.940;85.87
23/02/1961;2,6;10,6;2.9;30,4;26.2;23;80.3;67.0;2,7;8.561.397.058.823.520;77.08
24/02/1961;2,3;6,4;0.0;29,8;26.0;23,7;82.5;79.0;4,7;0.0;76.1
25/02/1961;2,2;8,9;0.0;35,2;28.1;23,4;76.0;57.0;0,3;0.0;76.1
26/02/1961;2,7;0,2;24.3;27,4;24.3;23,3;93.0;83.0;1,7;8.932.411.067.193.670;84.26
27/02/1961;0,8;3,8;27.6;25;21.9;20,9;74.3;65.0;3;8.954.934.497.816.590;85.36
